Model,N-SRMSE,RMSE,Max Error,End Point Error,Time(ms),Best ValLoss,Final TestLoss,Best Epoch,Params
Multi-CNN,12.8036546021468,5.451455203530267,15.483196195948127,15.321716174650328,0.004665223145914792,0.20703480714150974,0.20414206044628255,3,164962
LSTM,8.568012716609905,3.6480316721481203,5.556995077462968,5.556995077462968,0.01265703227266338,0.1455756048071048,0.1455756048071048,8,214210
IONet,2.860160495422579,1.2177801807531419,2.808857885884901,0.8543635935978053,0.023961886420052297,0.09274483629081759,0.09229871810924622,1,333698
TCN,13.117127862377254,5.584923770806705,13.530318850738702,13.522346664372199,0.0018987019026332184,0.24290440817393602,0.24290440817393602,32,20066
