Time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,timestamp,dvl_vx,dvl_vy,dvl_vz,gt_px,gt_py,roll,pitch,yaw,roll_body,pitch_body,yaw_body,est_px,est_py,est_pz
2024-09-14 16:06:24.483916,0.1354906111955643,0.5440690517425537,9.782590866088867,-0.0037897566799074,-0.0015555374557152,-0.0219337679445743,1726301184.483916,-0.012,-0.037,0.004,0.0,0.0,0.0377463014275853,0.0320020193582657,96.46582830636191,-179.96799797369707,-0.0377462955397621,89.14631877013704,0.0,0.0,0.0
2024-09-14 16:06:24.493996,0.1420691609382629,0.5402340292930603,9.786943435668944,-0.0064514898695051,-0.0015865000896155,-0.0229723416268825,1726301184.493996,-0.012,-0.037,0.004,0.0004263198182399,-1.363749070870668e-05,0.03786599921957,0.0320074563310656,96.4562686428698,-179.96799253667896,-0.0378659933110688,89.13675903619561,0.0001153478296515,-0.0003747617102962,4.000537532590063e-05
2024-09-14 16:06:24.504798,0.1317284852266312,0.5302064418792725,9.791982650756836,-0.0055151665583252,0.0011549013433977,-0.0227559581398963,1726301184.504798,-0.012,-0.037,0.004,0.0008652783323457,6.310261461939248e-05,0.0362976665863134,0.0325927144189323,96.44615855413136,-179.96740727904069,-0.0362976607135304,89.12664945281475,0.0002388893286124,-0.0007763937954029,8.288654542756008e-05
2024-09-14 16:06:24.513777,0.1337827891111374,0.545978844165802,9.788705825805664,-0.0076051312498748,-0.0022347792983055,-0.0225559063255786,1726301184.513777,-0.012,-0.037,0.004,0.0012115334844113,0.000221919807545,0.0367378371446205,0.0320037057162561,96.43785691895226,-179.96799628770486,-0.0367378314135012,89.11834794491456,0.0003415332442923,-0.0011102616767751,0.0001185296534886
2024-09-14 16:06:24.524732,0.1376601755619049,0.5417906045913696,9.788328170776367,-0.0074961348436772,-0.0023878968786448,-0.0220942832529544,1726301184.524732,-0.012,-0.037,0.004,0.0015941497552693,0.0001662134973283,0.0373712496503793,0.0313533807332863,96.428018138584,-179.96864661259735,-0.0373712440549595,89.10850923491628,0.0004666953994508,-0.0015176253365553,0.0001620136981005
2024-09-14 16:06:24.534212,0.132297083735466,0.5404602885246277,9.790020942687988,-0.0077146724797785,-0.0010728279594331,-0.0225573927164077,1726301184.534212,-0.012,-0.037,0.004,0.0019293760430834,9.948354206690269e-05,0.03720503930188,0.0306721731087298,96.41925244053311,-179.96932782042467,-0.0372050339708057,89.09974407016148,0.0005749501825781,-0.0018701542205566,0.0001996450175611
2024-09-14 16:06:24.544179,0.1398114413022995,0.5429447293281555,9.785619735717772,-0.0065081305801868,-0.0045732702128589,-0.0221613422036171,1726301184.544179,-0.012,-0.037,0.004,0.0023743676423149,0.0002906130036604,0.0390295085752343,0.0306448135256222,96.4102630579766,-179.9693551793644,-0.0390295029927002,89.09075372954788,0.000688706254486,-0.0022408065381691,0.0002391972281474
2024-09-14 16:06:24.554179,0.1293171942234039,0.5499114990234375,9.794486045837402,-0.0054470933973789,-0.0020032038446515,-0.022182984277606,1726301184.554179,-0.012,-0.037,0.004,0.0027241066564152,0.0003868292682724,0.039387476843924,0.0312255883821897,96.40123192544442,-179.96877440423958,-0.0393874709946266,89.08172200630669,0.0008027823479061,-0.0026127095301049,0.0002788774230279
2024-09-14 16:06:24.563728,0.1375408321619034,0.5372400283813477,9.787290573120115,-0.0086896466091275,-0.0013901485363021,-0.0208932794630527,1726301184.563728,-0.012,-0.037,0.004,0.0029294127703496,0.0003516168824524,0.0393941840898014,0.0300056823063435,96.393312500867,-179.96999431060124,-0.0393941786876745,89.07380341683033,0.0009116654263904,-0.0029678603217515,0.000316771035309
2024-09-14 16:06:24.574293,0.1341153234243393,0.5416078567504883,9.782912254333496,-0.0059932661242783,-0.0025137532502412,-0.0221963934600353,1726301184.574293,-0.012,-0.037,0.004,0.0032680231547055,0.0003637277253409,0.0400815304210046,0.0302887226277358,96.3837627690404,-179.96971126996095,-0.040081524820451,89.06425312703955,0.0010320642016147,-0.0033608061457055,0.0003586897616123
2024-09-14 16:06:24.583770,0.1364923715591431,0.5422921180725098,9.787310600280762,-0.0060427491553127,-0.0013985799159854,-0.0222288090735673,1726301184.58377,-0.012,-0.037,0.004,0.0036036962680388,0.000379712747009,0.0400925108636678,0.0305158612438262,96.37517886614268,-179.9694841312852,-0.0400925051772336,89.05566905939774,0.0011400150450082,-0.003713313677732,0.000396292361612
2024-09-14 16:06:24.593673,0.1304556727409363,0.533627986907959,9.78726863861084,-0.0075756795704364,-0.0002447843726258,-0.0244673583656549,1726301184.593673,-0.012,-0.037,0.004,0.0040079707585933,0.0003086443207158,0.0394486086380873,0.0298843156596675,96.364938347299,-179.9701156772571,-0.0394486032721656,89.04542931832223,0.0012527499479638,-0.0040816793671158,0.0004355899053656
2024-09-14 16:06:24.604120,0.1308957040309906,0.5411500930786133,9.789356231689451,-0.0064870440401136,-0.0017421717057004,-0.0231426768004894,1726301184.60412,-0.012,-0.037,0.004,0.0043901189200459,0.0002907924922812,0.0396661576339436,0.029869033537054,96.35492865697162,-179.97013095930504,-0.0396661522439634,89.03541952510557,0.0013716106333191,-0.0044703041038877,0.0004770450333408
2024-09-14 16:06:24.614134,0.1464352756738663,0.5278152823448181,9.769932746887209,-0.0067884707823395,-0.0028517108876258,-0.0220843013375997,1726301184.614134,-0.012,-0.037,0.004,0.0046911659033119,0.0003577613638179,0.0405116180952026,0.0296810543664218,96.3459409749396,-179.97031893821426,-0.0405116126594145,89.02643153523658,0.0014854866584147,-0.0048428410693149,0.0005167770150433
2024-09-14 16:06:24.623736,0.1451395452022552,0.5331313014030457,9.78114414215088,-0.0073094647377729,-0.001459848950617,-0.0226054117083549,1726301184.623736,-0.012,-0.037,0.004,0.0049661412142543,0.000335199837314,0.0405564353995826,0.0292145121025884,96.33703617147776,-179.97078548057857,-0.0405564301275058,89.01752703879677,0.0015946191826218,-0.0052000596499779,0.0005548741018452
2024-09-14 16:06:24.634004,0.1366010010242462,0.5390324592590332,9.79034423828125,-0.0088952062651515,-0.004017430357635,-0.0236559733748436,1726301184.634004,-0.012,-0.037,0.004,0.0052720299458415,0.0003111968927318,0.0421087817699675,0.0277831428510186,96.32689500625544,-179.9722168496457,-0.0421087768193315,89.00738613401522,0.001711256991623,-0.0055820914155184,0.0005956079618436
2024-09-14 16:06:24.643291,0.1347366571426392,0.5287497043609619,9.793657302856444,-0.0054334206506609,-0.0016397205181419,-0.0203534942120313,1726301184.643291,-0.013,-0.037,0.004,0.0056768239545932,0.0004772662296548,0.0422487063443142,0.0283295192374112,96.31948131036138,-179.9716704730608,-0.0422487011799476,88.99997196738413,0.001825988854085,-0.0059277883056096,0.0006324424011719
2024-09-14 16:06:24.654058,0.1221646666526794,0.5493682622909546,9.803305625915527,-0.0087556326761841,-0.0031672338955104,-0.0193740800023078,1726301184.654058,-0.013,-0.037,0.004,0.0061353800939836,0.0005741597890738,0.0433534742885211,0.0269130588209797,96.31148884350166,-179.97308693347466,-0.043353469505796,88.99198002605918,0.0019589491972249,-0.0063286002166927,0.0006751431316771
2024-09-14 16:06:24.664020,0.1187210530042648,0.5647985339164734,9.795281410217283,-0.005345513112843,-0.0021480454597622,-0.0232890024781227,1726301184.66402,-0.013,-0.037,0.004,0.006543208072764,0.00051749971874,0.0437930444111116,0.02755076340693,96.30186082355397,-179.9724492285454,-0.0437930393482274,88.98235131221729,0.0020819080144154,-0.0066994698421076,0.0007146474386531
2024-09-14 16:06:24.674075,0.1254055798053741,0.5422661900520325,9.785308837890623,-0.0069792559370398,-0.0022651853505522,-0.0222396496683359,1726301184.674075,-0.013,-0.037,0.004,0.006877905324502,0.0005299890222052,0.0443043857344638,0.0272528200144293,96.29274674858574,-179.97274717183797,-0.044304380722653,88.9732372217566,0.002205951791064,-0.0070738122725747,0.0007545168815209
2024-09-14 16:06:24.683520,0.1329246908426285,0.538084089756012,9.790684700012209,-0.0073796999640762,-0.0005729883559979,-0.0214353539049625,1726301184.68352,-0.013,-0.037,0.004,0.0071718698792473,0.000552048777751,0.0438692103756757,0.0267559879730313,96.28462067263102,-179.97324400418427,-0.0438692055923891,88.9651117331993,0.0023224244512366,-0.0074254741005159,0.0007919727112757
2024-09-14 16:06:24.693488,0.1307244598865509,0.54019695520401,9.785615921020508,-0.0068511529825627,-0.0043861335143446,-0.0220667719841003,1726301184.693488,-0.013,-0.037,0.004,0.0074327924210759,0.0004717198154353,0.0455876239427966,0.0265337216357332,96.27568424670372,-179.97346626996548,-0.0455876190543722,88.9561746816538,0.0024452836159359,-0.0077966141431098,0.0008314904567857
2024-09-14 16:06:24.710463,0.1342013627290726,0.5371213555335999,9.791342735290527,-0.0054664481431245,-0.0044659511186182,-0.0225271992385387,1726301184.710463,-0.013,-0.037,0.004,0.008117252121256,0.0004519361093815,0.0485914769893431,0.0275027833559143,96.26001921573037,-179.97249720675347,-0.0485914713912647,88.94050743774957,0.0026543409451202,-0.0084287261564558,0.0008987524903874
2024-09-14 16:06:24.718894,0.1222605332732201,0.5443757772445679,9.78972625732422,-0.0078234607353806,-0.0010789053048938,-0.0243585593998432,1726301184.718894,-0.013,-0.037,0.004,0.0084445834817608,0.0005012427808086,0.0484467002349736,0.0268466673260125,96.2513532418568,-179.97315332307682,-0.0484466949167163,88.93184208815283,0.0027581243865695,-0.0087426892230212,0.0009321611833964
2024-09-14 16:06:24.723870,0.1352024674415588,0.5434816479682922,9.779531478881836,-0.0028297218959778,-0.0030450320336967,-0.0190023370087146,1726301184.72387,-0.013,-0.037,0.004,0.0085397137708087,0.0005562719941654,0.0489225776913108,0.0278818551782561,96.2477668433786,-179.97211813465773,-0.0489225718986502,88.92825458279036,0.0028193671471212,-0.0089279973155261,0.0009518766241691
2024-09-14 16:06:24.733624,0.1307771056890488,0.5354651212692261,9.785584449768066,-0.0075982557609677,-0.000960961158853,-0.0215162318199873,1726301184.733624,-0.013,-0.037,0.004,0.0087437304461239,0.0006593313465068,0.0486898746455755,0.0272473411945911,96.23932957165614,-179.97275264896695,-0.0486898691398865,88.91981796351749,0.0029393603103876,-0.0092912527799171,0.000990525385813
2024-09-14 16:06:24.744111,0.1411659717559814,0.5367604494094849,9.78523063659668,-0.0043385201133787,-0.0042799236252903,-0.0182662177830934,1726301184.744111,-0.013,-0.037,0.004,0.009239091903566,0.0006944939904349,0.050434948976433,0.0285220949090938,96.23221272312529,-179.9714778940407,-0.0504349427273141,88.91269916299612,0.0030683249199839,-0.0096818289790769,0.0010320642576242
2024-09-14 16:06:24.754083,0.1339218318462372,0.5408066511154175,9.790358543395996,-0.0068384078331291,-0.0062778182327747,-0.0225533209741115,1726301184.754083,-0.013,-0.037,0.004,0.0096202922036936,0.0007308111860648,0.0532344587414741,0.0283082904938847,96.22299470060688,-179.9716916972874,-0.0532344522439952,88.90347994551746,0.0031908936472041,-0.0100532381088755,0.001071544809547
2024-09-14 16:06:24.763556,0.1517878919839859,0.5354759097099304,9.787919044494627,-0.0067554819397628,-0.0018480053404346,-0.0233676247298717,1726301184.763556,-0.013,-0.037,0.004,0.0098593488633014,0.0007692608585889,0.0534893568049321,0.028151032448071,96.21379600714144,-179.97184895528446,-0.0534893503486832,88.8942812729244,0.003307274985471,-0.0104060889765153,0.0011090494044886
2024-09-14 16:06:24.773917,0.142051562666893,0.5315197110176086,9.787908554077148,-0.0060681668110191,-0.0022273971699178,-0.0216204486787319,1726301184.773917,-0.013,-0.037,0.004,0.0101425277921793,0.0007849685491438,0.0539939092928101,0.0283861281909981,96.20477260333784,-179.97161385920467,-0.053993902666324,88.88525739967213,0.003434503616509,-0.0107920314166865,0.0011500652118283
2024-09-14 16:06:24.783891,0.122906468808651,0.5414121747016907,9.797142028808594,-0.0042468104511499,-0.0003134077705908,-0.0226575881242752,1726301184.783891,-0.013,-0.037,0.004,0.0104388845911105,0.000791851394752,0.053385503189826,0.0296539243281692,96.19549452899986,-179.9703460627996,-0.0533854960397081,88.8759784454851,0.0035569213258459,-0.0111635793885898,0.0011895502406248
