time,timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,magX,magY,magZ,roll,pitch,yaw,gt_px,gt_py,dvl_vx,dvl_vy,dvl_vz,depth
2025-07-30 17:23:56.951055,1753867436.951055,-0.6349831223487854,-0.0437190867960453,10.321125030517578,0.0833752751350402,-0.0086037358269095,-0.3229530751705169,0.5101144909858704,-0.2637962698936462,0.5370945334434509,-0.4241826019312019,-9.903838818863187,160.34296452612892,0.0,0.0,0.1,0.033,-0.006,0.48
2025-07-30 17:23:56.961853,1753867436.961853,-0.776769757270813,-0.4238336384296417,9.013845443725586,0.1184460297226905,-0.0378030017018318,-0.3383519947528839,0.5104787945747375,-0.2644884884357452,0.5379511117935181,-0.3749976698137233,-9.878163665779065,160.13694462284718,-0.0016473739092058,-0.0006163404530156,0.1,0.033,-0.006,0.48
2025-07-30 17:23:56.970871,1753867436.970871,-0.3795072138309479,0.2962184250354767,9.56576442718506,0.0604745522141456,-0.0772842392325401,-0.3566618263721466,0.5083600878715515,-0.265947163105011,0.5365655422210693,-0.3339208123968212,-9.856721029650696,159.96488684360833,-0.0030231802846044,-0.0011310779512461,0.1,0.033,-0.006,0.48
2025-07-30 17:23:56.980568,1753867436.980568,-0.5033177733421326,-0.2803889214992523,10.043778419494627,0.0671138763427734,-0.0156105272471904,-0.3773806989192962,0.507827877998352,-0.267819344997406,0.5366746783256531,-0.2897510274756008,-9.833663846470358,159.7798737831916,-0.0045025795258326,-0.0016845731798849,0.1,0.033,-0.006,0.48
2025-07-30 17:23:56.990409,1753867436.990409,-0.8480060696601868,-0.1073486506938934,9.367157936096191,0.0726696848869323,-0.0682144686579704,-0.3821521699428558,0.507659912109375,-0.2703837156295776,0.537640392780304,-0.2449252986595035,-9.810264252328158,159.59211318421046,-0.00600394860237,-0.0022462880957311,0.1,0.033,-0.006,0.48
2025-07-30 17:23:57.001385,1753867437.001385,-0.3086165487766266,-0.1508494615554809,10.01327896118164,0.1150801703333854,-0.0117340292781591,-0.4079097807407379,0.5064247846603394,-0.2717821300029754,0.5359311699867249,-0.1949291246720373,-9.784165620786233,159.38269524896248,-0.0076784938145164,-0.0028727942877266,0.1,0.033,-0.006,0.48
2025-07-30 17:23:57.011594,1753867437.011594,-0.8740769028663635,0.0012533935951068,10.051385879516602,0.1049809530377388,-0.038217008113861,-0.4205492734909057,0.5064117908477783,-0.2729017734527588,0.5348600149154663,-0.1484266121246664,-9.75989072445013,159.18791114080346,-0.0092360241919109,-0.0034555211192155,0.1,0.033,-0.006,0.48
2025-07-30 17:23:57.021530,1753867437.02153,-0.5808780789375305,-0.2432425767183303,9.47035312652588,0.0470520071685314,-0.0785660967230796,-0.4309448003768921,0.5065092444419861,-0.2742422819137573,0.535961389541626,-0.1031686553778396,-9.736265501892664,158.99834007766896,-0.0107518700804569,-0.0040226523190161,0.1,0.033,-0.006,0.48
2025-07-30 17:23:57.031598,1753867437.031598,-0.5857543349266052,-0.411719262599945,9.83837890625,0.1085042729973793,-0.0173677913844585,-0.4587376713752746,0.506199300289154,-0.2765227258205414,0.534133791923523,-0.0573079687276077,-9.712325646746066,158.80624437231052,-0.0122879034832357,-0.0045973363770951,0.1,0.033,-0.006,0.48
2025-07-30 17:23:57.041367,1753867437.041367,-0.5716094970703125,-0.1790085285902023,9.526220321655272,0.1131583899259567,-0.0752102062106132,-0.4733100533485412,0.5071185827255249,-0.278252363204956,0.5332896709442139,-0.0128102118589491,-9.689097258084796,158.61985754261158,-0.0137782876421185,-0.0051549414493376,0.1,0.033,-0.006,0.48
